outer_fold,model,candidate,parameters,inner_fold,validation_ap,iterations,nonzero_features,violations
1,Monotonic,0,"{""lambda"": 0.001}",1,0.8766666666666667,28,14,0.0
1,Monotonic,0,"{""lambda"": 0.001}",2,0.35487012987012984,38,12,0.0
1,Monotonic,0,"{""lambda"": 0.001}",3,0.6311111111111112,38,16,0.0
1,Monotonic,0,"{""lambda"": 0.001}",4,0.8142857142857143,34,14,0.0
1,Monotonic,0,"{""lambda"": 0.001}",5,0.8875,28,15,0.0
1,Monotonic,1,"{""lambda"": 0.01}",1,0.8766666666666667,24,14,0.0
1,Monotonic,1,"{""lambda"": 0.01}",2,0.3875757575757576,26,14,0.0
1,Monotonic,1,"{""lambda"": 0.01}",3,0.6311111111111112,26,16,0.0
1,Monotonic,1,"{""lambda"": 0.01}",4,0.8333333333333333,25,14,0.0
1,Monotonic,1,"{""lambda"": 0.01}",5,0.8875,23,15,0.0
1,Monotonic,2,"{""lambda"": 0.1}",1,0.7595238095238095,14,15,0.0
1,Monotonic,2,"{""lambda"": 0.1}",2,0.5432900432900433,15,15,0.0
1,Monotonic,2,"{""lambda"": 0.1}",3,0.5968253968253969,14,17,0.0
1,Monotonic,2,"{""lambda"": 0.1}",4,0.8999999999999999,15,17,0.0
1,Monotonic,2,"{""lambda"": 0.1}",5,0.95,17,17,0.0
1,Monotonic,3,"{""lambda"": 1.0}",1,0.7295238095238095,11,18,0.0
1,Monotonic,3,"{""lambda"": 1.0}",2,0.5412698412698412,13,18,0.0
1,Monotonic,3,"{""lambda"": 1.0}",3,0.711111111111111,12,19,0.0
1,Monotonic,3,"{""lambda"": 1.0}",4,0.8711111111111112,12,18,0.0
1,Monotonic,3,"{""lambda"": 1.0}",5,0.7470238095238095,12,19,0.0
1,Monotonic,4,"{""lambda"": 10.0}",1,0.7295238095238095,10,19,0.0
1,Monotonic,4,"{""lambda"": 10.0}",2,0.5523809523809524,10,18,0.0
1,Monotonic,4,"{""lambda"": 10.0}",3,0.731111111111111,10,20,0.0
1,Monotonic,4,"{""lambda"": 10.0}",4,0.7544444444444445,10,18,0.0
1,Monotonic,4,"{""lambda"": 10.0}",5,0.7095238095238094,9,18,0.0
1,L2,0,"{""lambda"": 0.001}",1,0.7783333333333333,46,21,
1,L2,0,"{""lambda"": 0.001}",2,0.33714285714285713,66,21,
1,L2,0,"{""lambda"": 0.001}",3,0.6333333333333333,62,21,
1,L2,0,"{""lambda"": 0.001}",4,0.81,70,21,
1,L2,0,"{""lambda"": 0.001}",5,0.8875,58,21,
1,L2,1,"{""lambda"": 0.01}",1,0.7783333333333333,34,21,
1,L2,1,"{""lambda"": 0.01}",2,0.37177489177489176,32,21,
1,L2,1,"{""lambda"": 0.01}",3,0.6444444444444444,33,21,
1,L2,1,"{""lambda"": 0.01}",4,0.800909090909091,33,21,
1,L2,1,"{""lambda"": 0.01}",5,0.95,32,21,
1,L2,2,"{""lambda"": 0.1}",1,0.7595238095238095,17,21,
1,L2,2,"{""lambda"": 0.1}",2,0.5125757575757576,17,21,
1,L2,2,"{""lambda"": 0.1}",3,0.6587301587301588,16,21,
1,L2,2,"{""lambda"": 0.1}",4,0.6433333333333333,16,21,
1,L2,2,"{""lambda"": 0.1}",5,0.95,17,21,
1,L2,3,"{""lambda"": 1.0}",1,0.7295238095238095,11,21,
1,L2,3,"{""lambda"": 1.0}",2,0.521031746031746,11,21,
1,L2,3,"{""lambda"": 1.0}",3,0.711111111111111,11,21,
1,L2,3,"{""lambda"": 1.0}",4,0.8211111111111111,10,21,
1,L2,3,"{""lambda"": 1.0}",5,0.7708333333333333,10,21,
1,L2,4,"{""lambda"": 10.0}",1,0.7295238095238095,10,21,
1,L2,4,"{""lambda"": 10.0}",2,0.5305555555555556,10,21,
1,L2,4,"{""lambda"": 10.0}",3,0.7611111111111111,10,21,
1,L2,4,"{""lambda"": 10.0}",4,0.7544444444444445,10,21,
1,L2,4,"{""lambda"": 10.0}",5,0.7470238095238095,8,21,
1,Elastic Net,0,"{""lambda"": 0.001, ""l1_ratio"": 0.1}",1,0.7783333333333333,2058,21,
1,Elastic Net,0,"{""lambda"": 0.001, ""l1_ratio"": 0.1}",2,0.33714285714285713,6011,21,
1,Elastic Net,0,"{""lambda"": 0.001, ""l1_ratio"": 0.1}",3,0.6333333333333333,5396,21,
1,Elastic Net,0,"{""lambda"": 0.001, ""l1_ratio"": 0.1}",4,0.81,5184,21,
1,Elastic Net,0,"{""lambda"": 0.001, ""l1_ratio"": 0.1}",5,0.8875,3927,21,
1,Elastic Net,1,"{""lambda"": 0.001, ""l1_ratio"": 0.5}",1,0.7783333333333333,2364,21,
1,Elastic Net,1,"{""lambda"": 0.001, ""l1_ratio"": 0.5}",2,0.32999999999999996,10431,21,
1,Elastic Net,1,"{""lambda"": 0.001, ""l1_ratio"": 0.5}",3,0.6000000000000001,8929,21,
1,Elastic Net,1,"{""lambda"": 0.001, ""l1_ratio"": 0.5}",4,0.81,7657,20,
1,Elastic Net,1,"{""lambda"": 0.001, ""l1_ratio"": 0.5}",5,0.8875,4486,20,
1,Elastic Net,2,"{""lambda"": 0.001, ""l1_ratio"": 0.9}",1,0.7783333333333333,2531,20,
1,Elastic Net,2,"{""lambda"": 0.001, ""l1_ratio"": 0.9}",2,0.32999999999999996,15663,17,
