outer_fold,model,metabolite,standardized_coefficient,constraint
1,Monotonic,(R)-3-Hydroxybutyric acid,0.006519002238886207,0
1,Monotonic,acetate,-0.28916990472462817,0
1,Monotonic,acetoacetate,0.0025225120237568413,0
1,Monotonic,L-alanine,0.0,1
1,Monotonic,L-valine,0.31811124247253636,1
1,Monotonic,hypoxanthine,-0.5135017712187789,0
1,Monotonic,citrate,0.0009648780009544645,0
1,Monotonic,creatinine,0.18897353169331857,0
1,Monotonic,L-glutamine,0.0,-1
1,Monotonic,glycine,0.0,-1
1,Monotonic,histidine,0.0,-1
1,Monotonic,L-allo-Isoleucine,0.1901649059037795,1
1,Monotonic,isopropanol,0.03886216790587406,0
1,Monotonic,L-Lactic acid,0.3458621869240105,1
1,Monotonic,L-leucine,0.2939584782868654,1
1,Monotonic,lipoproteins,0.0,1
1,Monotonic,methanol,0.026203031311651782,0
1,Monotonic,Dimethyl sulfone,-0.2419371507086645,0
1,Monotonic,D-phenylalanine,0.05894594341699296,1
1,Monotonic,Pyruvic acid,0.3979100717585962,0
1,Monotonic,L-tyrosine,0.06834540181671142,1
1,L2,(R)-3-Hydroxybutyric acid,-0.004997852791345751,0
1,L2,acetate,-0.07137248843032641,0
1,L2,acetoacetate,0.006761572857528812,0
1,L2,L-alanine,0.024046668190791178,0
1,L2,L-valine,0.10360885955530946,0
1,L2,hypoxanthine,-0.10078153156466176,0
1,L2,citrate,-0.009395892321663366,0
1,L2,creatinine,0.04432885281592103,0
1,L2,L-glutamine,-0.04245032151690608,0
1,L2,glycine,0.007955356255280202,0
1,L2,histidine,0.06564624825598832,0
1,L2,L-allo-Isoleucine,0.09627619326006451,0
1,L2,isopropanol,0.019676517014103178,0
1,L2,L-Lactic acid,0.08242409016214207,0
1,L2,L-leucine,0.09352563818813646,0
1,L2,lipoproteins,-0.02099631458533663,0
1,L2,methanol,0.014964604599875935,0
1,L2,Dimethyl sulfone,-0.07966358379991455,0
1,L2,D-phenylalanine,0.06489441095996398,0
1,L2,Pyruvic acid,0.09618096180903198,0
1,L2,L-tyrosine,0.05389134191842181,0
1,Elastic Net,(R)-3-Hydroxybutyric acid,0.0,0
1,Elastic Net,acetate,-0.11105933093737505,0
1,Elastic Net,acetoacetate,0.0,0
1,Elastic Net,L-alanine,0.0,0
1,Elastic Net,L-valine,0.3135766862201812,0
1,Elastic Net,hypoxanthine,-0.32919264731627546,0
1,Elastic Net,citrate,0.0,0
1,Elastic Net,creatinine,0.0,0
1,Elastic Net,L-glutamine,0.0,0
1,Elastic Net,glycine,0.0,0
1,Elastic Net,histidine,0.11209103872267746,0
1,Elastic Net,L-allo-Isoleucine,0.12954273291688057,0
1,Elastic Net,isopropanol,0.0,0
1,Elastic Net,L-Lactic acid,0.21120998104044084,0
1,Elastic Net,L-leucine,0.1839112583045041,0
1,Elastic Net,lipoproteins,0.0,0
1,Elastic Net,methanol,0.0,0
1,Elastic Net,Dimethyl sulfone,-0.11970611446969562,0
1,Elastic Net,D-phenylalanine,0.0,0
1,Elastic Net,Pyruvic acid,0.2836723768841165,0
1,Elastic Net,L-tyrosine,0.0,0
2,Monotonic,(R)-3-Hydroxybutyric acid,-0.008604612812405397,0
2,Monotonic,acetate,-0.005550153728398497,0
2,Monotonic,acetoacetate,-0.005371989792375543,0
2,Monotonic,L-alanine,0.01207275354606421,1
2,Monotonic,L-valine,0.019929465627678306,1
2,Monotonic,hypoxanthine,-0.003673009395324755,0
2,Monotonic,citrate,-0.009792058940832658,0
2,Monotonic,creatinine,0.0031100359016637182,0
2,Monotonic,L-glutamine,-0.007163278573914596,-1
2,Monotonic,glycine,-0.009127450972032576,-1
2,Monotonic,histidine,0.0,-1
2,Monotonic,L-allo-Isoleucine,0.022173674883102547,1
2,Monotonic,isopropanol,0.005159395864684511,0
2,Monotonic,L-Lactic acid,0.01840212742249593,1
2,Monotonic,L-leucine,0.018168883135751462,1
2,Monotonic,lipoproteins,0.0022571511906072615,1
2,Monotonic,methanol,-0.00026679276624911474,0
2,Monotonic,Dimethyl sulfone,-0.005621797412986179,0
2,Monotonic,D-phenylalanine,0.01601795095401515,1
2,Monotonic,Pyruvic acid,0.013070078755256405,0
2,Monotonic,L-tyrosine,0.01650663215922981,1
2,L2,(R)-3-Hydroxybutyric acid,-0.008606784153340432,0
2,L2,acetate,-0.005554198539802034,0
2,L2,acetoacetate,-0.005374044195370616,0
2,L2,L-alanine,0.01207024361836096,0
2,L2,L-valine,0.019924646795075194,0
2,L2,hypoxanthine,-0.003672313650694376,0
2,L2,citrate,-0.009793396213668148,0
2,L2,creatinine,0.0031094791699975157,0
2,L2,L-glutamine,-0.007165720815018623,0
2,L2,glycine,-0.009131621980128532,0
2,L2,histidine,0.0008763337215190644,0
2,L2,L-allo-Isoleucine,0.02216962003129183,0
2,L2,isopropanol,0.005158985922026226,0
2,L2,L-Lactic acid,0.018397767061319306,0
2,L2,L-leucine,0.018163703934690245,0
2,L2,lipoproteins,0.0022573856993676903,0
2,L2,methanol,-0.00026931764198991683,0
2,L2,Dimethyl sulfone,-0.005612784496547203,0
2,L2,D-phenylalanine,0.01601208659656586,0
2,L2,Pyruvic acid,0.013070109640272803,0
2,L2,L-tyrosine,0.016505477344787592,0
2,Elastic Net,(R)-3-Hydroxybutyric acid,0.0,0
2,Elastic Net,acetate,0.0,0
2,Elastic Net,acetoacetate,0.0,0
2,Elastic Net,L-alanine,0.0,0
2,Elastic Net,L-valine,0.06880255127201665,0
2,Elastic Net,hypoxanthine,0.0,0
2,Elastic Net,citrate,-0.00015020693190576185,0
2,Elastic Net,creatinine,0.0,0
2,Elastic Net,L-glutamine,0.0,0
2,Elastic Net,glycine,0.0,0
2,Elastic Net,histidine,0.0,0
2,Elastic Net,L-allo-Isoleucine,0.09080552125223848,0
2,Elastic Net,isopropanol,0.0,0
2,Elastic Net,L-Lactic acid,0.05813098961044452,0
2,Elastic Net,L-leucine,0.048093047762001725,0
2,Elastic Net,lipoproteins,0.0,0
2,Elastic Net,methanol,0.0,0
2,Elastic Net,Dimethyl sulfone,0.0,0
2,Elastic Net,D-phenylalanine,0.0294398214209531,0
2,Elastic Net,Pyruvic acid,0.018870434326982197,0
2,Elastic Net,L-tyrosine,0.040589711134191894,0
3,Monotonic,(R)-3-Hydroxybutyric acid,-0.004708734426058233,0
3,Monotonic,acetate,-0.007041497840627376,0
3,Monotonic,acetoacetate,-0.00320693733808466,0
3,Monotonic,L-alanine,0.006137650041483991,1
3,Monotonic,L-valine,0.018209078353441502,1
3,Monotonic,hypoxanthine,0.0017069009952102182,0
3,Monotonic,citrate,-0.011179875815636786,0
3,Monotonic,creatinine,0.0005295097199618827,0
3,Monotonic,L-glutamine,-0.0014538846514786272,-1
3,Monotonic,glycine,-0.0037847169079787122,-1
3,Monotonic,histidine,0.0,-1
