outer_fold,model,n_train,n_test,test_positives,baseline_prevalence,pr_auc_ap,best_inner_ap,parameters,iterations,nonzero_features,violations
1,Monotonic,56,15,7,0.4666666666666667,0.484981684981685,0.74992784992785,"{""lambda"": 0.1}",15,16,0.0
1,L2,56,15,7,0.4666666666666667,0.5817159031444745,0.7107222222222221,"{""lambda"": 1.0}",11,21,
1,Elastic Net,56,15,7,0.4666666666666667,0.483982683982684,0.7641024531024531,"{""lambda"": 0.1, ""l1_ratio"": 0.5}",173,9,
1,SVM,56,15,7,0.4666666666666667,0.670931449502878,0.701507215007215,"{""C"": 0.1, ""gamma"": ""scale""}",46,21,
2,Monotonic,57,14,6,0.42857142857142855,0.4722222222222222,0.7372611832611834,"{""lambda"": 10.0}",10,20,0.0
2,L2,57,14,6,0.42857142857142855,0.4722222222222222,0.7472611832611833,"{""lambda"": 10.0}",10,21,
2,Elastic Net,57,14,6,0.42857142857142855,0.4890572390572391,0.754118326118326,"{""lambda"": 1.0, ""l1_ratio"": 0.1}",52,8,
2,SVM,57,14,6,0.42857142857142855,0.3514041514041514,0.7433636363636363,"{""C"": 1.0, ""gamma"": ""scale""}",63,21,
3,Monotonic,57,14,6,0.42857142857142855,0.8523809523809522,0.6006493506493505,"{""lambda"": 10.0}",10,19,0.0
3,L2,57,14,6,0.42857142857142855,0.8374999999999999,0.6044588744588744,"{""lambda"": 10.0}",10,21,
3,Elastic Net,57,14,6,0.42857142857142855,0.6912698412698411,0.707111111111111,"{""lambda"": 1.0, ""l1_ratio"": 0.1}",66,6,
3,SVM,57,14,6,0.42857142857142855,0.6496031746031746,0.6171572871572871,"{""C"": 1.0, ""gamma"": 0.1}",69,21,
4,Monotonic,57,14,6,0.42857142857142855,0.8972222222222221,0.6206580086580086,"{""lambda"": 1.0}",12,20,0.0
4,L2,57,14,6,0.42857142857142855,0.8555555555555555,0.6358008658008658,"{""lambda"": 1.0}",11,21,
4,Elastic Net,57,14,6,0.42857142857142855,0.6968253968253969,0.6870476190476191,"{""lambda"": 0.1, ""l1_ratio"": 0.9}",70,3,
4,SVM,57,14,6,0.42857142857142855,0.49718614718614706,0.5967994227994228,"{""C"": 10.0, ""gamma"": 0.01}",208,21,
5,Monotonic,57,14,6,0.42857142857142855,0.4574425574425574,0.751,"{""lambda"": 10.0}",10,20,0.0
5,L2,57,14,6,0.42857142857142855,0.4574425574425574,0.7897777777777778,"{""lambda"": 10.0}",10,21,
5,Elastic Net,57,14,6,0.42857142857142855,0.3785353535353535,0.7282611832611832,"{""lambda"": 0.1, ""l1_ratio"": 0.1}",120,17,
5,SVM,57,14,6,0.42857142857142855,0.47883597883597884,0.7762929292929291,"{""C"": 10.0, ""gamma"": ""scale""}",180,21,
