repeat,outer_fold,inner_fold,subject_id,role
1,1,1,0003,train
1,1,1,0008,train
1,1,1,0009,validation
1,1,1,0014,train
1,1,1,0027,train
1,1,1,0033,validation
1,1,1,0038,train
1,1,1,0041,train
1,1,1,0046,validation
1,1,1,0053,validation
1,1,1,0054,train
1,1,1,0063,train
1,1,1,0079,validation
1,1,1,0089,train
1,1,1,0095,train
1,1,1,0100,train
1,1,1,0106,train
1,1,1,0116,train
1,1,1,0117,validation
1,1,1,0118,train
1,1,1,0135,train
1,1,1,0139,train
1,1,1,0144,train
1,1,1,0161,train
1,1,1,0170,train
1,1,1,0202,train
1,1,1,0227,validation
1,1,1,0242,train
1,1,1,0248,train
1,1,1,0256,train
1,1,1,0268,train
1,1,1,0273,train
1,1,1,0278,train
1,1,1,0281,validation
1,1,1,0283,train
1,1,1,0287,train
1,1,1,0289,validation
1,1,1,0296,train
1,1,1,0304,train
1,1,1,0306,train
1,1,1,0309,train
1,1,1,0322,validation
1,1,1,0323,validation
1,1,1,0330,train
1,1,1,0346,train
1,1,1,0347,train
1,1,1,0369,train
1,1,1,0370,train
1,1,1,0379,train
1,1,1,0384,train
1,1,1,0399,train
1,1,1,0406,validation
1,1,1,0427,train
1,1,1,0432,train
1,1,1,0459,train
1,1,1,0498,train
1,1,2,0003,train
1,1,2,0008,train
1,1,2,0009,train
1,1,2,0014,validation
1,1,2,0027,train
1,1,2,0033,train
1,1,2,0038,train
1,1,2,0041,train
1,1,2,0046,train
1,1,2,0053,train
1,1,2,0054,validation
1,1,2,0063,train
1,1,2,0079,train
1,1,2,0089,validation
1,1,2,0095,validation
1,1,2,0100,train
1,1,2,0106,train
1,1,2,0116,validation
1,1,2,0117,train
1,1,2,0118,train
1,1,2,0135,train
1,1,2,0139,train
1,1,2,0144,train
1,1,2,0161,validation
1,1,2,0170,train
1,1,2,0202,validation
1,1,2,0227,train
1,1,2,0242,train
1,1,2,0248,validation
1,1,2,0256,train
1,1,2,0268,train
1,1,2,0273,validation
1,1,2,0278,train
1,1,2,0281,train
1,1,2,0283,train
1,1,2,0287,train
1,1,2,0289,train
1,1,2,0296,train
1,1,2,0304,train
1,1,2,0306,train
1,1,2,0309,train
1,1,2,0322,train
1,1,2,0323,train
1,1,2,0330,train
1,1,2,0346,train
1,1,2,0347,train
1,1,2,0369,train
1,1,2,0370,train
1,1,2,0379,validation
1,1,2,0384,train
1,1,2,0399,train
1,1,2,0406,train
1,1,2,0427,train
1,1,2,0432,validation
1,1,2,0459,train
1,1,2,0498,validation
1,1,3,0003,train
1,1,3,0008,validation
1,1,3,0009,train
1,1,3,0014,train
1,1,3,0027,train
1,1,3,0033,train
1,1,3,0038,validation
1,1,3,0041,train
1,1,3,0046,train
1,1,3,0053,train
1,1,3,0054,train
1,1,3,0063,train
1,1,3,0079,train
1,1,3,0089,train
1,1,3,0095,train
1,1,3,0100,validation
1,1,3,0106,train
1,1,3,0116,train
1,1,3,0117,train
1,1,3,0118,train
1,1,3,0135,validation
1,1,3,0139,train
1,1,3,0144,train
1,1,3,0161,train
1,1,3,0170,train
1,1,3,0202,train
1,1,3,0227,train
1,1,3,0242,validation
1,1,3,0248,train
1,1,3,0256,train
1,1,3,0268,train
1,1,3,0273,train
1,1,3,0278,train
1,1,3,0281,train
1,1,3,0283,validation
1,1,3,0287,train
1,1,3,0289,train
1,1,3,0296,train
1,1,3,0304,train
1,1,3,0306,train
1,1,3,0309,train
1,1,3,0322,train
1,1,3,0323,train
1,1,3,0330,validation
1,1,3,0346,train
1,1,3,0347,validation
1,1,3,0369,train
1,1,3,0370,train
1,1,3,0379,train
1,1,3,0384,validation
1,1,3,0399,train
1,1,3,0406,train
1,1,3,0427,validation
1,1,3,0432,train
1,1,3,0459,validation
1,1,3,0498,train
1,1,4,0003,train
1,1,4,0008,train
1,1,4,0009,train
1,1,4,0014,train
1,1,4,0027,train
1,1,4,0033,train
1,1,4,0038,train
1,1,4,0041,validation
1,1,4,0046,train
1,1,4,0053,train
1,1,4,0054,train
1,1,4,0063,validation
1,1,4,0079,train
1,1,4,0089,train
1,1,4,0095,train
1,1,4,0100,train
1,1,4,0106,validation
1,1,4,0116,train
1,1,4,0117,train
1,1,4,0118,train
1,1,4,0135,train
1,1,4,0139,train
1,1,4,0144,validation
1,1,4,0161,train
1,1,4,0170,validation
1,1,4,0202,train
1,1,4,0227,train
1,1,4,0242,train
1,1,4,0248,train
1,1,4,0256,validation
1,1,4,0268,train
1,1,4,0273,train
1,1,4,0278,validation
1,1,4,0281,train
1,1,4,0283,train
1,1,4,0287,train
1,1,4,0289,train
1,1,4,0296,validation
1,1,4,0304,train
1,1,4,0306,train
1,1,4,0309,validation
1,1,4,0322,train
1,1,4,0323,train
1,1,4,0330,train
1,1,4,0346,train
1,1,4,0347,train
1,1,4,0369,train
1,1,4,0370,validation
1,1,4,0379,train
1,1,4,0384,train
1,1,4,0399,validation
1,1,4,0406,train
1,1,4,0427,train
1,1,4,0432,train
1,1,4,0459,train
1,1,4,0498,train
1,1,5,0003,validation
1,1,5,0008,train
1,1,5,0009,train
1,1,5,0014,train
1,1,5,0027,validation
