repeat,outer_fold,inner_fold,model,candidate,parameters,validation_ap,iterations,nonzero_features,violating_features,max_violation,l2,soft_penalty,violations
1,1,1,Soft Monotonic + L2,0,"{""l2"": 0.001, ""soft_penalty"": 0.0}",0.7783333333333333,46,21,6.0,1.0490263550356922,0.001,0.0,
1,1,2,Soft Monotonic + L2,0,"{""l2"": 0.001, ""soft_penalty"": 0.0}",0.33714285714285713,66,21,7.0,2.7426620945414757,0.001,0.0,
1,1,3,Soft Monotonic + L2,0,"{""l2"": 0.001, ""soft_penalty"": 0.0}",0.6333333333333333,62,21,4.0,4.02375792670402,0.001,0.0,
1,1,4,Soft Monotonic + L2,0,"{""l2"": 0.001, ""soft_penalty"": 0.0}",0.81,70,21,4.0,2.0822986358702678,0.001,0.0,
1,1,5,Soft Monotonic + L2,0,"{""l2"": 0.001, ""soft_penalty"": 0.0}",0.8875,58,21,5.0,1.6200307115868213,0.001,0.0,
1,1,1,Soft Monotonic + L2,1,"{""l2"": 0.001, ""soft_penalty"": 0.001}",0.7783333333333333,44,21,6.0,1.0177533580198799,0.001,0.001,
1,1,2,Soft Monotonic + L2,1,"{""l2"": 0.001, ""soft_penalty"": 0.001}",0.34547619047619044,65,21,7.0,2.401056339521803,0.001,0.001,
1,1,3,Soft Monotonic + L2,1,"{""l2"": 0.001, ""soft_penalty"": 0.001}",0.6333333333333333,60,21,4.0,3.3328577195932896,0.001,0.001,
1,1,4,Soft Monotonic + L2,1,"{""l2"": 0.001, ""soft_penalty"": 0.001}",0.81,65,21,4.0,1.9186443843766385,0.001,0.001,
1,1,5,Soft Monotonic + L2,1,"{""l2"": 0.001, ""soft_penalty"": 0.001}",0.8875,52,21,5.0,1.5040881093841416,0.001,0.001,
1,1,1,Soft Monotonic + L2,2,"{""l2"": 0.001, ""soft_penalty"": 0.01}",0.7783333333333333,43,21,7.0,0.8257002343517609,0.001,0.01,
1,1,2,Soft Monotonic + L2,2,"{""l2"": 0.001, ""soft_penalty"": 0.01}",0.32820346320346316,57,21,8.0,1.3149657534474508,0.001,0.01,
1,1,3,Soft Monotonic + L2,2,"{""l2"": 0.001, ""soft_penalty"": 0.01}",0.6301587301587301,46,21,4.0,1.7511923315207192,0.001,0.01,
1,1,4,Soft Monotonic + L2,2,"{""l2"": 0.001, ""soft_penalty"": 0.01}",0.800909090909091,47,21,7.0,1.2823821787622807,0.001,0.01,
1,1,5,Soft Monotonic + L2,2,"{""l2"": 0.001, ""soft_penalty"": 0.01}",0.8875,38,21,6.0,1.0327829964500252,0.001,0.01,
1,1,1,Soft Monotonic + L2,3,"{""l2"": 0.001, ""soft_penalty"": 0.1}",0.8766666666666667,39,21,7.0,0.3371144179389581,0.001,0.1,
1,1,2,Soft Monotonic + L2,3,"{""l2"": 0.001, ""soft_penalty"": 0.1}",0.32820346320346316,50,21,8.0,0.3229650286471383,0.001,0.1,
1,1,3,Soft Monotonic + L2,3,"{""l2"": 0.001, ""soft_penalty"": 0.1}",0.6311111111111112,41,21,4.0,0.46691302306280513,0.001,0.1,
1,1,4,Soft Monotonic + L2,3,"{""l2"": 0.001, ""soft_penalty"": 0.1}",0.7742424242424242,49,21,7.0,0.4240177029036721,0.001,0.1,
1,1,5,Soft Monotonic + L2,3,"{""l2"": 0.001, ""soft_penalty"": 0.1}",0.8875,37,21,7.0,0.39622796568797136,0.001,0.1,
1,1,1,Soft Monotonic + L2,4,"{""l2"": 0.001, ""soft_penalty"": 1.0}",0.8766666666666667,68,21,7.0,0.05061808772692374,0.001,1.0,
1,1,2,Soft Monotonic + L2,4,"{""l2"": 0.001, ""soft_penalty"": 1.0}",0.35487012987012984,88,21,9.0,0.04132097955715244,0.001,1.0,
1,1,3,Soft Monotonic + L2,4,"{""l2"": 0.001, ""soft_penalty"": 1.0}",0.6311111111111112,73,21,5.0,0.06542374133533041,0.001,1.0,
1,1,4,Soft Monotonic + L2,4,"{""l2"": 0.001, ""soft_penalty"": 1.0}",0.8333333333333333,85,21,7.0,0.060461175757093664,0.001,1.0,
1,1,5,Soft Monotonic + L2,4,"{""l2"": 0.001, ""soft_penalty"": 1.0}",0.8875,59,21,6.0,0.06449357752022826,0.001,1.0,
1,1,1,Soft Monotonic + L2,5,"{""l2"": 0.001, ""soft_penalty"": 10.0}",0.8766666666666667,169,21,7.0,0.005328265189832388,0.001,10.0,
1,1,2,Soft Monotonic + L2,5,"{""l2"": 0.001, ""soft_penalty"": 10.0}",0.35487012987012984,277,21,9.0,0.0042694888349121005,0.001,10.0,
1,1,3,Soft Monotonic + L2,5,"{""l2"": 0.001, ""soft_penalty"": 10.0}",0.6311111111111112,202,21,5.0,0.00693316972604363,0.001,10.0,
1,1,4,Soft Monotonic + L2,5,"{""l2"": 0.001, ""soft_penalty"": 10.0}",0.8142857142857143,206,21,7.0,0.0063330501327708965,0.001,10.0,
1,1,5,Soft Monotonic + L2,5,"{""l2"": 0.001, ""soft_penalty"": 10.0}",0.8875,169,21,6.0,0.006921346534287974,0.001,10.0,
