repeat,seed,outer_fold,model,n_train,n_test,test_positives,prevalence,pr_auc_ap,best_inner_ap,candidate,parameters,iterations,nonzero_features,violating_features,max_violation,l2,soft_penalty,violations
1,42,1,Soft Monotonic + L2,56,15,7,0.4666666666666667,0.484981684981685,0.74992784992785,16,"{""l2"": 0.1, ""soft_penalty"": 1.0}",24,21,5.0,0.04886134482207932,0.1,1.0,
1,42,1,Monotonic + L2,56,15,7,0.4666666666666667,0.484981684981685,0.74992784992785,2,"{""l2"": 0.1}",15,16,0.0,0.0,0.1,,0.0
1,42,1,L2,56,15,7,0.4666666666666667,0.5817159031444745,0.7107222222222221,3,"{""l2"": 1.0}",11,21,,,1.0,,
1,42,2,Soft Monotonic + L2,57,14,6,0.42857142857142855,0.4722222222222222,0.7472611832611833,24,"{""l2"": 10.0, ""soft_penalty"": 0.0}",10,21,1.0,0.0008763337215190644,10.0,0.0,
1,42,2,Monotonic + L2,57,14,6,0.42857142857142855,0.4722222222222222,0.7372611832611834,4,"{""l2"": 10.0}",10,20,0.0,0.0,10.0,,0.0
1,42,2,L2,57,14,6,0.42857142857142855,0.4722222222222222,0.7472611832611833,4,"{""l2"": 10.0}",10,21,,,10.0,,
1,42,3,Soft Monotonic + L2,57,14,6,0.42857142857142855,0.8374999999999999,0.6044588744588744,24,"{""l2"": 10.0, ""soft_penalty"": 0.0}",10,21,2.0,0.008855635889275012,10.0,0.0,
1,42,3,Monotonic + L2,57,14,6,0.42857142857142855,0.8523809523809522,0.6006493506493505,4,"{""l2"": 10.0}",10,19,0.0,0.0,10.0,,0.0
1,42,3,L2,57,14,6,0.42857142857142855,0.8374999999999999,0.6044588744588744,4,"{""l2"": 10.0}",10,21,,,10.0,,
1,42,4,Soft Monotonic + L2,57,14,6,0.42857142857142855,0.8555555555555555,0.6491341991341991,22,"{""l2"": 1.0, ""soft_penalty"": 1.0}",13,21,1.0,0.027977130981439245,1.0,1.0,
1,42,4,Monotonic + L2,57,14,6,0.42857142857142855,0.8972222222222221,0.6206580086580086,3,"{""l2"": 1.0}",12,20,0.0,0.0,1.0,,0.0
1,42,4,L2,57,14,6,0.42857142857142855,0.8555555555555555,0.6358008658008658,3,"{""l2"": 1.0}",11,21,,,1.0,,
1,42,5,Soft Monotonic + L2,57,14,6,0.42857142857142855,0.4574425574425574,0.7897777777777778,24,"{""l2"": 10.0, ""soft_penalty"": 0.0}",10,21,1.0,0.007901724182150866,10.0,0.0,
1,42,5,Monotonic + L2,57,14,6,0.42857142857142855,0.4574425574425574,0.751,4,"{""l2"": 10.0}",10,20,0.0,0.0,10.0,,0.0
1,42,5,L2,57,14,6,0.42857142857142855,0.4574425574425574,0.7897777777777778,4,"{""l2"": 10.0}",10,21,,,10.0,,
2,1042,1,Soft Monotonic + L2,56,15,7,0.4666666666666667,0.6320905285190999,0.700079365079365,29,"{""l2"": 10.0, ""soft_penalty"": 10.0}",11,21,1.0,0.002502664447580679,10.0,10.0,
2,1042,1,Monotonic + L2,56,15,7,0.4666666666666667,0.6535190999476714,0.7054126984126985,4,"{""l2"": 10.0}",10,20,0.0,0.0,10.0,,0.0
2,1042,1,L2,56,15,7,0.4666666666666667,0.6320905285190999,0.6906349206349207,4,"{""l2"": 10.0}",10,21,,,10.0,,
2,1042,2,Soft Monotonic + L2,57,14,6,0.42857142857142855,0.6623376623376623,0.6806984126984126,22,"{""l2"": 1.0, ""soft_penalty"": 1.0}",11,21,2.0,0.021436562408157982,1.0,1.0,
2,1042,2,Monotonic + L2,57,14,6,0.42857142857142855,0.653078403078403,0.7033650793650793,4,"{""l2"": 10.0}",10,20,0.0,0.0,10.0,,0.0
2,1042,2,L2,57,14,6,0.42857142857142855,0.653078403078403,0.6773650793650792,4,"{""l2"": 10.0}",10,21,,,10.0,,
2,1042,3,Soft Monotonic + L2,57,14,6,0.42857142857142855,0.6458333333333334,0.6338470418470419,28,"{""l2"": 10.0, ""soft_penalty"": 1.0}",10,21,2.0,0.004739807896973179,10.0,1.0,
2,1042,3,Monotonic + L2,57,14,6,0.42857142857142855,0.6458333333333334,0.6378470418470418,4,"{""l2"": 10.0}",10,19,0.0,0.0,10.0,,0.0
2,1042,3,L2,57,14,6,0.42857142857142855,0.6299603174603176,0.6317041847041847,4,"{""l2"": 10.0}",9,21,,,10.0,,
2,1042,4,Soft Monotonic + L2,57,14,6,0.42857142857142855,0.8193473193473193,0.6771904761904761,24,"{""l2"": 10.0, ""soft_penalty"": 0.0}",10,21,2.0,0.004305113476769242,10.0,0.0,
2,1042,4,Monotonic + L2,57,14,6,0.42857142857142855,0.8269230769230769,0.6971904761904762,4,"{""l2"": 10.0}",10,19,0.0,0.0,10.0,,0.0
2,1042,4,L2,57,14,6,0.42857142857142855,0.8193473193473193,0.6771904761904761,4,"{""l2"": 10.0}",10,21,,,10.0,,
2,1042,5,Soft Monotonic + L2,57,14,6,0.42857142857142855,0.8833333333333333,0.6733246753246751,29,"{""l2"": 10.0, ""soft_penalty"": 10.0}",15,21,3.0,0.003663194002213466,10.0,10.0,
2,1042,5,Monotonic + L2,57,14,6,0.42857142857142855,0.8833333333333333,0.675142857142857,4,"{""l2"": 10.0}",9,18,0.0,0.0,10.0,,0.0
2,1042,5,L2,57,14,6,0.42857142857142855,0.8833333333333333,0.6648484848484848,4,"{""l2"": 10.0}",9,21,,,10.0,,
3,2042,1,Soft Monotonic + L2,56,15,7,0.4666666666666667,0.6395691609977323,0.717030303030303,14,"{""l2"": 0.1, ""soft_penalty"": 0.01}",16,21,6.0,0.2783662163141447,0.1,0.01,
3,2042,1,Monotonic + L2,56,15,7,0.4666666666666667,0.6637755102040817,0.703030303030303,2,"{""l2"": 0.1}",15,16,0.0,0.0,0.1,,0.0
3,2042,1,L2,56,15,7,0.4666666666666667,0.6395691609977323,0.7142525252525251,2,"{""l2"": 0.1}",17,21,,,0.1,,
3,2042,2,Soft Monotonic + L2,57,14,6,0.42857142857142855,0.3785353535353535,0.8074675324675324,18,"{""l2"": 1.0, ""soft_penalty"": 0.0}",10,21,1.0,0.05093934533281736,1.0,0.0,
3,2042,2,Monotonic + L2,57,14,6,0.42857142857142855,0.40585525585525584,0.7868326118326119,4,"{""l2"": 10.0}",10,19,0.0,0.0,10.0,,0.0
3,2042,2,L2,57,14,6,0.42857142857142855,0.3785353535353535,0.8074675324675324,3,"{""l2"": 1.0}",10,21,,,1.0,,
