repeat,L2,Monotonic + L2,Soft Monotonic + L2
1,0.6408872476729619,0.6328499278499278,0.621540404040404
2,0.7235619803476946,0.7325374493231636,0.7285884353741496
3,0.6388722256579399,0.6604208622065765,0.6388722256579399
4,0.6984762459762459,0.694527417027417,0.6912612387612387
5,0.6518669161526305,0.6429254872112015,0.6397630940488084
6,0.7145757020757021,0.726928811928812,0.7166896991896992
7,0.6638790838790839,0.6558934583934584,0.6590103415103414
8,0.6623795648795648,0.6583391608391608,0.6633319458319458
9,0.7176760805332234,0.7395086923658353,0.7175510204081632
10,0.7303956096813239,0.7216307634164776,0.7221476539333682
11,0.6403523328523327,0.6506675731675731,0.6350182225182225
12,0.6861596736596736,0.6639493046635904,0.6597826379969237
13,0.719044844044844,0.7113885188885188,0.7298697598697599
14,0.6848287162572877,0.6802982202982203,0.6924477638763353
15,0.6664620432477575,0.6796593221593221,0.6624937892795035
16,0.7177958020815163,0.6950853643710786,0.695422064707779
17,0.6489642764642765,0.6821483146483146,0.6131818049675192
18,0.6715615204900919,0.6380203394489108,0.6383390022675737
19,0.7186712229569372,0.7005292723149865,0.7127992245849388
20,0.7310834403691546,0.7103282696139839,0.7333982551839694
