repeat,outer_fold,inner_fold,model,candidate,parameters,validation_ap,iterations,nonzero_features,violations
4,1,1,Monotonic,0,"{""lambda"": 0.001}",0.7253968253968255,42,17,0.0
4,1,2,Monotonic,0,"{""lambda"": 0.001}",0.6833333333333333,44,15,0.0
4,1,3,Monotonic,0,"{""lambda"": 0.001}",0.8083333333333333,26,14,0.0
4,1,4,Monotonic,0,"{""lambda"": 0.001}",0.45979797979797976,39,15,0.0
4,1,5,Monotonic,0,"{""lambda"": 0.001}",0.6,35,16,0.0
4,1,1,Monotonic,1,"{""lambda"": 0.01}",0.7392857142857143,29,17,0.0
4,1,2,Monotonic,1,"{""lambda"": 0.01}",0.5722222222222222,31,16,0.0
4,1,3,Monotonic,1,"{""lambda"": 0.01}",0.8583333333333332,25,17,0.0
4,1,4,Monotonic,1,"{""lambda"": 0.01}",0.41757575757575754,28,15,0.0
4,1,5,Monotonic,1,"{""lambda"": 0.01}",0.625,31,19,0.0
4,1,1,Monotonic,2,"{""lambda"": 0.1}",0.925,16,19,0.0
4,1,2,Monotonic,2,"{""lambda"": 0.1}",0.5560606060606061,16,20,0.0
4,1,3,Monotonic,2,"{""lambda"": 0.1}",1.0,17,19,0.0
4,1,4,Monotonic,2,"{""lambda"": 0.1}",0.4321789321789321,14,17,0.0
4,1,5,Monotonic,2,"{""lambda"": 0.1}",0.6777777777777778,16,19,0.0
4,1,1,Monotonic,3,"{""lambda"": 1.0}",0.9428571428571428,12,20,0.0
4,1,2,Monotonic,3,"{""lambda"": 1.0}",0.5709090909090908,12,20,0.0
4,1,3,Monotonic,3,"{""lambda"": 1.0}",1.0,12,19,0.0
4,1,4,Monotonic,3,"{""lambda"": 1.0}",0.44126984126984126,12,18,0.0
4,1,5,Monotonic,3,"{""lambda"": 1.0}",0.6777777777777778,12,20,0.0
4,1,1,Monotonic,4,"{""lambda"": 10.0}",0.925,10,20,0.0
4,1,2,Monotonic,4,"{""lambda"": 10.0}",0.5709090909090908,10,19,0.0
4,1,3,Monotonic,4,"{""lambda"": 10.0}",1.0,10,20,0.0
4,1,4,Monotonic,4,"{""lambda"": 10.0}",0.44126984126984126,10,18,0.0
4,1,5,Monotonic,4,"{""lambda"": 10.0}",0.7611111111111111,10,19,0.0
4,1,1,L2,0,"{""lambda"": 0.001}",0.6833333333333333,70,21,
4,1,2,L2,0,"{""lambda"": 0.001}",0.505,61,21,
4,1,3,L2,0,"{""lambda"": 0.001}",0.6977777777777778,47,21,
4,1,4,L2,0,"{""lambda"": 0.001}",0.4859523809523809,66,21,
4,1,5,L2,0,"{""lambda"": 0.001}",0.7291666666666666,44,21,
4,1,1,L2,1,"{""lambda"": 0.01}",0.7833333333333332,38,21,
4,1,2,L2,1,"{""lambda"": 0.01}",0.49666666666666665,34,21,
4,1,3,L2,1,"{""lambda"": 0.01}",0.7416666666666667,31,21,
4,1,4,L2,1,"{""lambda"": 0.01}",0.4851948051948052,33,21,
4,1,5,L2,1,"{""lambda"": 0.01}",0.6777777777777778,29,21,
4,1,1,L2,2,"{""lambda"": 0.1}",0.835,17,21,
4,1,2,L2,2,"{""lambda"": 0.1}",0.531060606060606,17,21,
4,1,3,L2,2,"{""lambda"": 0.1}",0.9666666666666666,17,21,
4,1,4,L2,2,"{""lambda"": 0.1}",0.44646464646464645,16,21,
4,1,5,L2,2,"{""lambda"": 0.1}",0.7611111111111111,16,21,
4,1,1,L2,3,"{""lambda"": 1.0}",0.925,11,21,
4,1,2,L2,3,"{""lambda"": 1.0}",0.5560606060606061,11,21,
4,1,3,L2,3,"{""lambda"": 1.0}",1.0,11,21,
4,1,4,L2,3,"{""lambda"": 1.0}",0.4321789321789321,11,21,
4,1,5,L2,3,"{""lambda"": 1.0}",0.7986111111111112,11,21,
4,1,1,L2,4,"{""lambda"": 10.0}",0.925,10,21,
4,1,2,L2,4,"{""lambda"": 10.0}",0.5633333333333332,10,21,
4,1,3,L2,4,"{""lambda"": 10.0}",1.0,10,21,
4,1,4,L2,4,"{""lambda"": 10.0}",0.44126984126984126,10,21,
4,1,5,L2,4,"{""lambda"": 10.0}",0.7611111111111111,10,21,
4,1,1,Elastic Net,0,"{""lambda"": 0.001, ""l1_ratio"": 0.1}",0.6833333333333333,5834,21,
4,1,2,Elastic Net,0,"{""lambda"": 0.001, ""l1_ratio"": 0.1}",0.505,6588,21,
4,1,3,Elastic Net,0,"{""lambda"": 0.001, ""l1_ratio"": 0.1}",0.6977777777777778,1070,21,
4,1,4,Elastic Net,0,"{""lambda"": 0.001, ""l1_ratio"": 0.1}",0.4859523809523809,3419,21,
4,1,5,Elastic Net,0,"{""lambda"": 0.001, ""l1_ratio"": 0.1}",0.7291666666666666,2060,21,
4,1,1,Elastic Net,1,"{""lambda"": 0.001, ""l1_ratio"": 0.5}",0.6166666666666667,9013,21,
4,1,2,Elastic Net,1,"{""lambda"": 0.001, ""l1_ratio"": 0.5}",0.51,10178,21,
4,1,3,Elastic Net,1,"{""lambda"": 0.001, ""l1_ratio"": 0.5}",0.6977777777777778,1147,21,
4,1,4,Elastic Net,1,"{""lambda"": 0.001, ""l1_ratio"": 0.5}",0.4859523809523809,4151,21,
4,1,5,Elastic Net,1,"{""lambda"": 0.001, ""l1_ratio"": 0.5}",0.7291666666666666,2163,21,
4,1,1,Elastic Net,2,"{""lambda"": 0.001, ""l1_ratio"": 0.9}",0.5833333333333333,23555,21,
4,1,2,Elastic Net,2,"{""lambda"": 0.001, ""l1_ratio"": 0.9}",0.51,33489,18,
4,1,3,Elastic Net,2,"{""lambda"": 0.001, ""l1_ratio"": 0.9}",0.6977777777777778,1262,21,
4,1,4,Elastic Net,2,"{""lambda"": 0.001, ""l1_ratio"": 0.9}",0.4859523809523809,5863,20,
4,1,5,Elastic Net,2,"{""lambda"": 0.001, ""l1_ratio"": 0.9}",0.6916666666666667,2265,20,
4,1,1,Elastic Net,3,"{""lambda"": 0.01, ""l1_ratio"": 0.1}",0.7833333333333332,906,21,
4,1,2,Elastic Net,3,"{""lambda"": 0.01, ""l1_ratio"": 0.1}",0.505,734,20,
4,1,3,Elastic Net,3,"{""lambda"": 0.01, ""l1_ratio"": 0.1}",0.7861904761904761,395,21,
4,1,4,Elastic Net,3,"{""lambda"": 0.01, ""l1_ratio"": 0.1}",0.4851948051948052,872,20,
4,1,5,Elastic Net,3,"{""lambda"": 0.01, ""l1_ratio"": 0.1}",0.6777777777777778,570,19,
4,1,1,Elastic Net,4,"{""lambda"": 0.01, ""l1_ratio"": 0.5}",0.7833333333333332,1043,20,
4,1,2,Elastic Net,4,"{""lambda"": 0.01, ""l1_ratio"": 0.5}",0.505,1491,19,
4,1,3,Elastic Net,4,"{""lambda"": 0.01, ""l1_ratio"": 0.5}",0.7861904761904761,369,19,
4,1,4,Elastic Net,4,"{""lambda"": 0.01, ""l1_ratio"": 0.5}",0.47090909090909094,1149,20,
4,1,5,Elastic Net,4,"{""lambda"": 0.01, ""l1_ratio"": 0.5}",0.6361111111111111,633,18,
4,1,1,Elastic Net,5,"{""lambda"": 0.01, ""l1_ratio"": 0.9}",0.7833333333333332,1480,18,
4,1,2,Elastic Net,5,"{""lambda"": 0.01, ""l1_ratio"": 0.9}",0.49772727272727274,4012,18,
4,1,3,Elastic Net,5,"{""lambda"": 0.01, ""l1_ratio"": 0.9}",0.7861904761904761,462,19,
4,1,4,Elastic Net,5,"{""lambda"": 0.01, ""l1_ratio"": 0.9}",0.4432900432900433,1628,15,
4,1,5,Elastic Net,5,"{""lambda"": 0.01, ""l1_ratio"": 0.9}",0.6361111111111111,963,17,
4,1,1,Elastic Net,6,"{""lambda"": 0.1, ""l1_ratio"": 0.1}",0.835,159,18,
4,1,2,Elastic Net,6,"{""lambda"": 0.1, ""l1_ratio"": 0.1}",0.5227272727272727,149,21,
4,1,3,Elastic Net,6,"{""lambda"": 0.1, ""l1_ratio"": 0.1}",1.0,92,20,
4,1,4,Elastic Net,6,"{""lambda"": 0.1, ""l1_ratio"": 0.1}",0.46551226551226543,139,20,
4,1,5,Elastic Net,6,"{""lambda"": 0.1, ""l1_ratio"": 0.1}",0.6777777777777778,131,19,
4,1,1,Elastic Net,7,"{""lambda"": 0.1, ""l1_ratio"": 0.5}",0.8083333333333333,198,10,
4,1,2,Elastic Net,7,"{""lambda"": 0.1, ""l1_ratio"": 0.5}",0.5160606060606061,156,12,
4,1,3,Elastic Net,7,"{""lambda"": 0.1, ""l1_ratio"": 0.5}",0.9666666666666666,108,10,
4,1,4,Elastic Net,7,"{""lambda"": 0.1, ""l1_ratio"": 0.5}",0.4157142857142857,183,9,
4,1,5,Elastic Net,7,"{""lambda"": 0.1, ""l1_ratio"": 0.5}",0.6416666666666666,162,10,
4,1,1,Elastic Net,8,"{""lambda"": 0.1, ""l1_ratio"": 0.9}",0.8999999999999999,271,4,
4,1,2,Elastic Net,8,"{""lambda"": 0.1, ""l1_ratio"": 0.9}",0.5655122655122655,127,4,
4,1,3,Elastic Net,8,"{""lambda"": 0.1, ""l1_ratio"": 0.9}",0.9266666666666665,113,5,
