repeat,outer_fold,inner_fold,subject_id,role
15,1,1,0003,train
15,1,1,0014,validation
15,1,1,0027,train
15,1,1,0029,validation
15,1,1,0033,train
15,1,1,0037,train
15,1,1,0038,train
15,1,1,0041,train
15,1,1,0046,train
15,1,1,0053,train
15,1,1,0054,train
15,1,1,0069,validation
15,1,1,0079,train
15,1,1,0089,train
15,1,1,0095,train
15,1,1,0100,train
15,1,1,0106,train
15,1,1,0116,train
15,1,1,0117,train
15,1,1,0118,train
15,1,1,0135,train
15,1,1,0139,train
15,1,1,0144,train
15,1,1,0161,train
15,1,1,0170,train
15,1,1,0202,train
15,1,1,0212,validation
15,1,1,0227,train
15,1,1,0248,train
15,1,1,0256,train
15,1,1,0268,train
15,1,1,0273,validation
15,1,1,0278,validation
15,1,1,0281,train
15,1,1,0287,train
15,1,1,0289,validation
15,1,1,0304,train
15,1,1,0306,validation
15,1,1,0309,train
15,1,1,0311,train
15,1,1,0322,train
15,1,1,0323,train
15,1,1,0330,train
15,1,1,0346,train
15,1,1,0369,train
15,1,1,0370,validation
15,1,1,0376,train
15,1,1,0379,train
15,1,1,0399,validation
15,1,1,0406,train
15,1,1,0409,train
15,1,1,0412,validation
15,1,1,0427,validation
15,1,1,0432,train
15,1,1,0498,train
15,1,1,0546,train
15,1,2,0003,train
15,1,2,0014,train
15,1,2,0027,validation
15,1,2,0029,train
15,1,2,0033,train
15,1,2,0037,train
15,1,2,0038,validation
15,1,2,0041,validation
15,1,2,0046,validation
15,1,2,0053,train
15,1,2,0054,train
15,1,2,0069,train
15,1,2,0079,train
15,1,2,0089,train
15,1,2,0095,train
15,1,2,0100,train
15,1,2,0106,validation
15,1,2,0116,train
15,1,2,0117,train
15,1,2,0118,validation
15,1,2,0135,train
15,1,2,0139,train
15,1,2,0144,train
15,1,2,0161,train
15,1,2,0170,train
15,1,2,0202,train
15,1,2,0212,train
15,1,2,0227,train
15,1,2,0248,train
15,1,2,0256,validation
15,1,2,0268,train
15,1,2,0273,train
15,1,2,0278,train
15,1,2,0281,train
15,1,2,0287,validation
15,1,2,0289,train
15,1,2,0304,validation
15,1,2,0306,train
15,1,2,0309,train
15,1,2,0311,train
15,1,2,0322,train
15,1,2,0323,train
15,1,2,0330,validation
15,1,2,0346,train
15,1,2,0369,train
15,1,2,0370,train
15,1,2,0376,train
15,1,2,0379,train
15,1,2,0399,train
15,1,2,0406,train
15,1,2,0409,validation
15,1,2,0412,train
15,1,2,0427,train
15,1,2,0432,train
15,1,2,0498,train
15,1,2,0546,validation
15,1,3,0003,train
15,1,3,0014,train
