metabolite,constraint,standardized_coefficient
L-valine,1,0.01782583664421037
L-allo-Isoleucine,1,0.017336667015757392
L-tyrosine,1,0.013993916949765837
D-phenylalanine,1,0.013784492310325741
L-leucine,1,0.013391712396176998
Pyruvic acid,0,0.012261000080305144
L-Lactic acid,1,0.01222676620605247
L-alanine,1,0.008306597996109109
isopropanol,0,0.005622126202448133
creatinine,0,0.0037021465526511925
methanol,0,0.0017600314702285707
lipoproteins,1,0.0
histidine,-1,0.0
glycine,-1,-0.0028522149445633894
hypoxanthine,0,-0.002964529046214338
acetoacetate,0,-0.004141846446670653
Dimethyl sulfone,0,-0.004314088141070335
(R)-3-Hydroxybutyric acid,0,-0.006254739958699155
acetate,0,-0.0063948243637516194
L-glutamine,-1,-0.00639813318257273
citrate,0,-0.007580294352635577
