metabolite,mae_log1p,rmse_log1p,r2
L-leucine,0.21553939093170188,0.2859487414022407,0.22618229266997214
creatinine,0.15594646595678316,0.19845077025848504,0.1696998069397817
L-valine,0.1588135428023152,0.1902466821212405,0.11903710747666019
glycine,0.2607283524696907,0.3914720017817949,0.09141674154042057
L-allo-Isoleucine,0.16555134466245222,0.21091414655088728,0.08696875413213323
(R)-3-Hydroxybutyric acid,1.0947933652662152,1.3050809385928446,0.06900387717089418
lipoproteins,0.15277054135627166,0.18668076200746017,0.056977815381729524
citrate,0.6244804276832373,0.9172191314443671,0.04940139093173068
acetoacetate,0.5538921829487271,0.7789211845197024,0.034484835954781023
acetate,0.3392714266229771,0.42401764559996474,-0.0005630468643704756
L-alanine,0.14286985621611437,0.1801978433127653,-0.013162575730274462
histidine,0.12787550699766004,0.14992942156882547,-0.014423202925674117
isopropanol,0.5244020572959457,0.7226099269564192,-0.022594591972826317
L-tyrosine,0.18856976331925057,0.23924264409363052,-0.038583527431043985
Dimethyl sulfone,0.5394924184621785,0.6552854056288964,-0.046456615458286166
L-glutamine,0.11715746705384043,0.15926849116827255,-0.06051220978326666
D-phenylalanine,0.15316804269224563,0.19493633537242794,-0.09012472856558684
methanol,0.2844489767355987,0.39409328501531027,-0.0996000482831243
L-Lactic acid,0.27740333673835627,0.35008595664941206,-0.09974179312092546
hypoxanthine,0.38783761431220753,0.5539795273450117,-0.11217087651768698
Pyruvic acid,0.3864815215601606,0.47108720721592146,-0.12708392764336707
